Unnamed: 0,filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
15,50_về phía mưa,0.297114,0.08966916,0.07594292,0.0017276787,1480.6817308681452,676682.030509421,1905.8984685785083,265299.5257158612,2832.3537064779653,2829846.8741242643,0.0539805881748258,0.0023818517014505,-3.619529e-07,0.005855394,1.1031307e-06,0.0005035028,123.046875,-239.97858,6737.7676,124.91185,1415.5707,0.5102095,381.53958,15.794075,337.03174,6.131886,209.1605,6.8170505,204.28778,4.5890884,177.22139,2.1283197,162.17618,-10.959059,127.64249,-0.86098295,110.34849,-17.987366,84.16567,-8.442429,101.68213,-14.952657,73.472885,-9.325485,77.25782,-11.244376,73.520935,-11.253509,75.38877,-11.201949,81.21736,-2.8857708,75.316284,-14.036928,88.573265,-7.819014,97.64516,ballad
16,58_Ra Là Em Đâu Quá Mong Manh,0.23844354,0.09340248,0.23498067,0.015672352,1727.9904489718308,700433.5088994271,2076.9890069181724,188013.76598201512,3447.2458216428017,2765664.7602060074,0.0698625783064048,0.0035352148740509,-6.416018e-06,0.052568458,-0.00014042389,0.0066752504,151.99908088235293,-131.71347,8917.196,107.40786,1043.1481,4.479118,412.59415,25.351751,302.89923,2.7348564,168.72562,0.2726446,211.43088,3.288925,186.29596,1.1709237,165.51944,0.7282297,133.83453,9.702788,162.89304,-13.680062,120.444305,-1.9046444,94.85665,-8.102811,104.56165,-7.78078,120.12285,-5.242396,148.82927,0.5844328,215.56221,-2.7333195,220.41824,3.260042,265.50818,-2.5235305,170.99136,-2.2947006,187.17862,ballad
17,35_Tự Tình 2,0.270082,0.089626245,0.08341048,0.0014267933,1270.8771629155185,628156.1992928863,1831.5632873581103,342613.8054092958,2376.1856315305727,3147978.740202475,0.0421331541457043,0.0017388531879403,1.21560215e-05,0.0070117866,1.1740687e-05,0.00039710806,86.1328125,-256.45468,4158.612,137.62123,1437.0664,22.637146,404.50684,25.605686,304.65747,12.418104,240.1429,1.8695599,161.51413,-5.39925,152.11526,-0.0643697,148.81464,-13.740227,187.93651,3.1586082,102.62806,-11.827806,90.193474,-2.4094462,89.71599,-9.477516,107.98518,-1.1308345,92.21066,-5.022899,97.60058,-5.58333,80.01428,-9.754372,72.94386,-3.186342,69.76121,-7.317974,76.9322,-5.076535,73.46559,ballad
18,83_Khi Nguoi Lon Co Don,0.27880117,0.08774,0.1774079,0.0049447874,1295.5564353326522,368791.6051105158,1743.7884646309035,308302.6027318182,2415.431227551156,2047634.2644348044,0.0538796817555147,0.0009363358594413,3.837555e-06,0.029416582,-4.4926313e-05,0.0019490577,112.34714673913044,-154.11272,4497.3213,146.50877,1111.1549,-4.797931,398.1385,8.0485115,225.70598,19.619875,147.3165,0.5920893,144.04382,-6.1263046,99.81175,4.1130414,99.29455,-19.325102,148.13521,1.0198716,152.9929,-17.7235,94.64571,-7.408805,116.84791,-16.45555,82.59024,-2.846716,91.531906,-10.135546,84.87784,-0.739959,89.28662,-7.28437,83.11575,-4.477007,70.73169,-12.239661,101.49369,-8.053543,93.452324,ballad
19,90_Nàng Thơ,0.23639943,0.08830303,0.12645814,0.0048151417,1532.064110003023,450765.2083855663,1899.3320778100228,235860.98974489787,2850.886927743445,2037586.6241430284,0.0642171097982778,0.0018582873008977,-1.4415302e-06,0.017569702,-5.146912e-06,0.0009846701,123.046875,-197.00516,5995.853,128.25314,1323.4849,-8.189162,277.98145,8.214393,275.22943,7.625068,396.43268,-11.7331705,279.58575,-4.5983357,148.77606,-0.11677745,145.48738,-17.162909,193.57512,-10.651755,134.55751,-11.175171,164.93555,-8.571292,139.65244,-4.838008,127.19483,-5.510511,111.71503,-10.397132,122.742455,0.12289561,112.17619,-14.366622,86.178566,-4.1916785,88.95748,-2.9279525,98.24392,-6.466926,137.5051,ballad
20,60_Yêu Một Người Sao Buồn Đến Thế,0.29218885,0.08682238,0.08409533,0.0018039431,1268.9012760198557,566730.0699373566,1750.544789029523,336844.8815737985,2534.1263431513644,3094999.432796659,0.0482731396937887,0.0018834444739042,6.9949596e-07,0.0067880983,-5.408278e-06,0.00054772064,129.19921875,-242.791,5733.1733,142.72481,1686.7279,16.26137,422.598,26.859514,390.1871,7.415438,180.77557,8.157013,161.63475,-6.3480725,129.4878,-0.5880631,136.3454,-19.430109,275.66922,0.6879395,157.69052,-13.861957,91.0671,-3.9948435,103.08304,-5.5887403,101.80469,-3.9273088,100.18884,-3.5272753,91.198265,-4.62834,74.32287,-7.424968,75.79321,-5.2335844,75.39597,-8.85053,71.838455,-6.378167,115.59406,ballad
21,3_Chạm Đáy Nỗi Đau,0.24018344,0.087335736,0.19287069,0.004589392,1487.310373061278,627390.4081844952,2115.561674291241,534111.6035361633,2954.8071326855165,5320999.934018727,0.0505091428018575,0.0011174693125338,-6.8371855e-07,0.034853633,-4.0324023e-05,0.0024636309,123.046875,-185.23982,5075.719,136.70712,1669.8757,34.553024,354.75745,-11.278145,508.0152,10.378336,397.42776,-17.392405,213.95181,-32.825493,194.53928,5.325351,214.32883,-25.055664,153.29124,-11.558677,176.47702,-11.546476,107.70881,-22.926746,110.07257,-26.012655,100.75741,-1.717268,107.284096,-14.87091,144.74461,-5.55568,101.63374,-9.836454,79.37901,-13.258722,94.93795,-5.3444996,81.58099,-8.157895,77.53315,ballad
22,36_Tinh Nao Khong Nhu Tinh Dau,0.23210533,0.0880994,0.111721724,0.003200926,932.8549330514207,294202.14612955187,1056.641679918937,493521.8383131431,1611.7985870077882,1433912.578809523,0.0457948855940402,0.0006364485965869,-1.6610451e-06,0.013725754,-1.44631e-05,0.0006008859,64.599609375,-258.47855,4923.1904,171.7951,1324.4839,0.23934937,325.73132,-6.397913,208.5945,9.64126,173.07214,-13.15921,194.27226,-13.442881,170.54353,-10.385801,117.60557,-17.035685,127.67248,-9.644671,126.15218,-8.82017,101.17173,-7.146969,57.061665,-10.5658655,110.01357,-5.248713,104.87761,-7.39878,113.36218,-0.7494922,120.35894,0.013148068,163.47891,-0.4955924,84.55534,-6.810432,74.77495,-3.8434024,76.296104,ballad
23,31_Người Yêu Tôi Lạnh Lùng Sắt Đá,0.25905862,0.08898376,0.26944226,0.010937498,1815.8146537171897,700606.6499813652,2289.070827772636,533455.8762898737,4212.628693477288,5693099.412599037,0.0634087246637964,0.0014650379839559,-0.016296137,0.06616289,-0.002056529,0.005373444,135.99917763157896,-90.97065,6186.2925,120.08769,1323.6467,13.589117,511.2349,7.66363,409.15973,16.587305,236.37413,-2.9616718,150.05316,-17.227957,157.16374,6.073475,134.45677,-10.198921,90.04284,-2.0632596,112.98758,-9.860474,79.53167,-12.617845,108.17198,-15.433464,108.57691,-0.12194607,70.71701,-4.588052,70.47765,-3.9355464,73.69346,-7.40864,65.82254,-2.4203541,62.74007,-4.494966,73.43824,-7.0448456,86.84021,ballad
24,18_Mr Siro _ Càng Níu Giữ Càng Dễ Mất,0.2549633,0.08681591,0.21760021,0.007721665,1565.0887803469725,458983.4487852725,2158.377168112516,330501.22106814146,3246.4470358455883,3289853.913286653,0.0567780013423955,0.0015939566798358,-0.013300967,0.04401376,-0.0018617824,0.0033628,143.5546875,-128.41925,6194.266,125.19877,883.3728,18.369972,413.44998,8.765373,506.82828,13.520916,266.53284,-4.705232,159.88362,-12.953593,334.2214,6.5405426,163.43777,-11.745001,145.031,-7.3703513,145.17651,-8.070866,107.91012,-9.32629,105.483215,-14.897552,151.20131,1.2350429,81.51663,-8.925265,79.21105,-2.90959,109.47565,-4.9953604,72.59641,-2.8641262,100.24741,-5.059032,66.51491,-4.600721,83.488945,ballad
25,70_Hãy Yêu Anh - Bùi Anh Tuấn _ Đời Cho Ta Bao Lần Đôi Mươi OST,0.2935894,0.08696162,0.06758438,0.0015255251,1329.7302169725372,477296.1003641671,1815.4140681866745,355563.3520093377,2498.301559778928,2685081.9364222423,0.0514872170085139,0.0012817885129131,-3.791794e-05,0.0044429814,-9.897982e-05,0.0006002481,64.599609375,-246.03,5853.605,140.31572,1020.7087,11.282461,278.81085,12.655057,196.67172,10.334477,189.01852,-3.3032393,182.7556,-8.626685,115.57348,-1.1116065,84.43087,-16.705795,136.2839,1.2367116,135.6265,-6.7901735,63.589977,-3.2067773,70.09478,-5.855619,65.776665,-4.2733164,82.182236,-5.9216075,56.000217,-5.957931,67.57656,-8.544858,67.31493,0.33952862,82.56316,-5.8812485,90.2364,-4.80187,63.397095,ballad
26,55_Là Em - Thái Đinh ft. Minh Cà Ri _ OFFICIAL,0.23402192,0.090688825,0.10027023,0.002710225,1310.771714828356,765540.2772099781,1743.308006777637,573742.179154384,2447.318534732972,3678294.465578695,0.0470675536353521,0.0018128421614328,-8.7801834e-07,0.01045783,-5.6545887e-06,0.0009321338,172.265625,-255.12367,11214.465,132.64046,1810.2441,10.359481,490.7173,12.40684,345.72885,23.956303,297.25848,-2.2126393,176.70233,-5.8373327,156.61687,-1.8154342,157.26367,-19.219114,136.36665,-5.707947,101.477745,-12.020109,83.635216,-9.832602,87.439514,-12.781041,85.45258,-7.4750347,97.54206,-4.226018,100.68924,-9.161281,59.136784,-10.963073,62.13945,-6.792918,86.3102,-5.6742463,91.99252,-3.058881,85.6472,ballad
27,21_Lang Le Ton Thuong,0.26526636,0.09087756,0.12572435,0.0027412614,2114.822219282313,976410.230391714,2586.3780248145054,276317.72984155465,4885.749623207116,5133825.988541472,0.0780087875507933,0.00548593701114,-0.0020751015,0.014454289,-0.0014391093,0.0013073888,172.265625,-160.97185,4036.1052,103.43967,1062.5933,20.439634,396.32205,5.9867134,309.572,18.04304,210.11995,0.55168146,116.90344,-13.20629,255.01175,6.688257,130.89893,-15.427701,224.84651,-0.22302642,119.22874,-8.8333645,124.71559,-10.744095,190.51427,-11.777989,141.94464,0.86127174,112.113716,-4.8285656,110.597404,-4.3684053,108.18653,-3.6065898,74.48286,-3.0959723,86.55664,-5.3754725,88.232155,-0.40664834,123.75556,ballad
28,46_Trot Yeu,0.24984512,0.089831874,0.069487765,0.002327206,1392.418483967034,544212.6412099967,1628.420915312536,265769.90359681874,2584.476038693644,2215016.889263602,0.0617095663820626,0.0021596522823879,-1.5748321e-07,0.0053971005,7.391472e-06,0.0007198517,151.99908088235293,-283.18335,10114.268,124.4699,1591.139,-1.0417571,895.95276,23.65903,391.10745,5.1572757,285.74786,-18.448257,271.80704,-6.6569357,252.39992,-5.196175,235.23027,-28.112833,239.33905,-1.9236438,239.62152,-16.473885,172.38985,-8.257131,160.77084,-13.088979,99.09484,-9.853573,122.00122,-8.016374,104.467865,-13.685701,116.48613,-11.7104025,139.51228,-0.3677852,149.37474,-4.6840315,161.0678,-5.5736604,226.2557,ballad
29,52_Phố Không Em,0.25481313,0.091335885,0.12290313,0.0036130475,1297.9294639711534,533950.7049254968,1997.552702909712,300057.9867071907,2412.156247354513,3149004.3323651785,0.0362531821425116,0.000969588753669,3.8086812e-06,0.016547643,2.8093207e-05,0.0005443619,89.10290948275862,-233.36488,3930.121,120.515724,860.2382,23.591341,252.50977,19.164093,275.05908,17.790066,227.4692,-9.491087,150.90204,-6.615999,134.70988,6.8055334,135.58565,-18.58949,112.70426,-11.244477,106.35429,-16.409252,80.289925,-9.325485,75.2085,-15.137315,74.8541,-10.571225,65.78794,-12.300358,62.122135,-8.200966,54.8434,-15.960623,46.63574,-8.691374,53.552147,-10.976688,46.892857,-12.2972,56.332973,ballad
30,100_Có Một Ngày Trời Không Nắng,0.23540233,0.089957684,0.116206214,0.0035088984,977.2454744065132,307991.9613001116,1376.1210711584408,300124.8542401711,1705.0355232167908,1381113.791286515,0.0370997378700657,0.0006932850586575,-7.4014906e-07,0.014839808,-8.915009e-06,0.0005844076,161.4990234375,-251.03447,5146.919,155.57768,1224.6224,5.9507174,360.23035,9.592963,250.52716,14.178817,180.22012,-6.2495546,182.972,-6.797439,119.61363,-9.344153,105.8738,-23.990767,151.34119,-8.457086,95.01998,-15.218248,68.42807,-15.208646,61.374184,-17.478687,67.16247,-10.435607,74.11943,-8.834552,64.51745,-7.6223273,92.61061,-9.426876,72.31442,-6.1493587,56.76424,-8.374125,66.82546,-4.122626,44.16013,ballad
31,12_Đừng Lo Anh Đợi Mà,0.26341316,0.08911825,0.24908644,0.011794092,1951.6955997588168,838641.6955501703,2438.8046062800763,481377.96636718494,4616.5137512396,5507820.548543393,0.0675286921923374,0.0028040223959463,-0.0002491107,0.053442497,-0.0004386679,0.008014864,161.4990234375,-104.16714,7072.0093,112.5389,1247.8458,28.002453,317.44324,5.253142,407.3907,14.400593,247.34738,3.209253,193.00552,-19.010782,276.3996,11.474818,162.42456,-8.981048,136.17041,-3.9746845,228.66486,-2.2532797,138.2421,-7.953571,124.63682,-17.048044,158.22267,4.5746303,95.46722,-7.682815,109.15758,1.1320987,102.48834,-5.165404,76.60477,-2.1073718,106.36835,0.19925106,88.418335,-0.018428272,88.62482,ballad
32,33_Trung Quân _ Và Ngày Nào Đó,0.26055664,0.09056129,0.047785375,0.0009214127,1476.963368230763,719748.4637455761,1968.7821607659976,539137.4954094527,2999.652694843871,5174025.003356338,0.0518350985028057,0.0013518970321548,2.7949773e-07,0.002530438,1.0455963e-05,0.0001842616,172.265625,-305.948,9730.099,128.4346,1571.6229,22.322817,794.3782,12.165236,272.29803,5.72815,284.2187,-2.3161125,189.6473,-2.8209028,177.10854,-6.403498,110.06696,-14.191192,109.79646,0.55947894,147.18175,-17.762583,100.99464,-5.8542056,78.17452,-13.905866,77.76339,-1.3206637,72.1349,-4.841738,77.30667,-4.073943,82.07689,-5.6716113,102.29555,-0.3195463,85.26059,-6.504352,100.47352,-2.3132782,88.939445,ballad
33,53_Đi Qua Mùa Hạ,0.24823466,0.08948154,0.11695269,0.0024944248,1488.5448657353572,603720.4795354427,2014.0008922772904,287393.45339216344,2907.474085568644,3259388.0624973183,0.0520049765383126,0.0016372421486208,-9.479791e-07,0.013188452,-1.9580777e-06,0.0009887981,172.265625,-212.91263,7280.322,115.021675,1132.966,11.996062,305.18475,13.639576,365.29422,6.283146,279.90494,-0.38623178,169.11739,-18.364262,178.57967,-9.059682,127.391685,-22.541092,157.4642,-7.320001,117.20506,-17.20344,165.91788,-17.529955,108.300446,-16.872396,100.03752,-9.20908,115.38554,-12.015997,85.86465,-7.381447,112.30128,-14.113647,91.48634,-11.138923,123.53778,-11.486303,83.22693,-9.15991,77.023125,ballad
